Biological & Environmental Sciences:,Count of Major,Expected Number of Leadership Awardees
Aquatic & Fishery Sciences,,0.24
Atmospheric Sciences,,0.20
Biology,,0.05
"Biology (Ecology, Evolution & Conservation)",,0.14
Biology (General),,0.73
"Biology (Molecular, Cellular & Developmental)",2,1.12
Biology (Physiology),1,0.81
Biology (Plant),,0.04
Environmental Science and Terrestrial Resource Management,,1.02
Environmental Studies,,0.63
Landscape Architecture,,0.10
Marine Biology,,0.06
Microbiology,2,0.47
Neuroscience,3,0.28
Oceanography,,0.33
